aabenserraagin	[["Viimeisen Aabenserraagin vaiheet", 1]]
aborted	[["Graphic illustrations of abortion and the diseases of menstruation: Consisting of Twelve Plates from Drawings Engraved on Stone, and Coloured by Mr. J. Perry, and Two Copper-plates from the Philosophical Transactions, Coloured by the Same Artist. the Whole Representing Forty-five Specimens of Aborted Ova and Adventitious Productions of the Uterus, With Preliminary Observations, Explanations of the Figures and Remarks, Anatomical and Physiological.", 1]]
abortion	[["Graphic illustrations of abortion and the diseases of menstruation: Consisting of Twelve Plates from Drawings Engraved on Stone, and Coloured by Mr. J. Perry, and Two Copper-plates from the Philosophical Transactions, Coloured by the Same Artist. the Whole Representing Forty-five Specimens of Aborted Ova and Adventitious Productions of the Uterus, With Preliminary Observations, Explanations of the Figures and Remarks, Anatomical and Physiological.", 1], ["Midwifery and the diseases of women : $b A descriptive and practical work showing the superiority of water-treatment in menstruation and its disorders, chlorosis, leucorrhea, fluor albus, prolapsus uteri, hysteria, spinal diseases, and other weaknesses of females, in pregnancy and its diseases, abortion, uterine hemorrhage, and the general management of childbirth, nursing, etc., etc.", 1], ["Observations on Abortion: Containing an account of the manner in which it is accomplished, the causes which produced it, and the method of preventing or treating it", 1], ["On criminal abortion in America", 1]]
aboukir	[["At Aboukir and Acre: A Story of Napoleon's Invasion of Egypt", 1]]
abounding	[["The Abounding American", 1]]
about	[["Bird Neighbors: An Introductory Acquaintance with One Hundred and Fifty Birds Commonly Found in the Gardens, Meadows, and Woods About Our Homes", 2], ["Secret Chambers and Hiding Places: Historic, Romantic, & Legendary Stories & Traditions About Hiding-Holes, Secret Chambers, Etc.", 2], ["\"1683-1920\": The Fourteen Points and What Became of Them—Foreign Propaganda in the Public Schools—Rewriting the History of the United States—The Espionage Act and How It Worked—\"Illegal and Indefensible Blockade\" of the Central Powers—1,000,000 Victims of Starvation—Our Debt to France and to Germany—The War Vote in Congress—Truth About the Belgian Atrocities—Our Treaty with Germany and How Observed—The Alien Property Custodianship—Secret Will of Cecil Rhodes—Racial Strains in American Life—Germantown Settlement of 1683 and a Thousand Other Topics", 1], ["\"About My Father's Business\": Work Amidst the Sick, the Sad, and the Sorrowing", 1], ["A Bibliography of Bibliography; Or, a Handy Book About Books Which Relate to Books", 1], ["A Book About Doctors", 1], ["A Book About Lawyers", 1], ["A Book About Myself", 1], ["A Book About the Theater", 1], ["A Few Words About the Devil, and Other Biographical Sketches and Essays", 1], ["A Man of Samples. Something about the men he met \"On the Road\"", 1], ["Abbreviations and Signs: A Primer of Information about Abbreviations and Signs, with Classified Lists of Those in Most Common Use", 1], ["About Algeria: Algiers, Tlemçen, Constantine, Biskra, Timgad", 1], ["About Ireland", 1], ["About London", 1], ["About Orchids: A Chat", 1], ["About Paris", 1], ["About Peggy Saville", 1], ["About The Holy Bible: A Lecture", 1], ["About sugar buying for jobbers: How you can lessen business risks by trading in refined sugar futures", 1], ["Address to the Inhabitants of Rugby about the Cholera Morbus", 1], ["All About Coffee", 1], ["All About Your Canary", 1], ["All about Little Boy Blue", 1], ["All about the Klondyke gold mines", 1], ["Anecdotes about Authors, and Artists", 1], ["Art in Needlework: A Book about Embroidery", 1], ["Bits about Home Matters", 1], ["Book about Animals", 1], ["Books Before Typography: A Primer of Information About the Invention of the Alphabet and the History of Book-Making up to the Invention of Movable Types; Typographic Technical Series for Apprentices #49", 1], ["Camping in the Canadian Rockies: an account of camp life in the wilder parts of the Canadian Rocky mountains, together with a description of the region about Banff, Lake Louise, and Glacier, and a sketch of early explorations.", 1], ["Caper-Sauce: A Volume of Chit-Chat about Men, Women, and Things.", 1], ["Capitals: A Primer of Information about Capitalization with some Practical Typographic Hints as to the Use of Capitals", 1], ["Chronicles of an Old Inn; Or, A Few Words about Gray's Inn", 1], ["Common Sense About Women", 1], ["Deadfalls and Snares: A Book of Instruction for Trappers About These and Other Home-Made Traps", 1], ["Dickens' Stories About Children Every Child Can Read", 1], ["Dogs and All about Them", 1], ["Dr. Scudder's Tales for Little Readers, About the Heathen.", 1], ["Dynamite Stories, and Some Interesting Facts About Explosives", 1], ["Eight or Nine Wise Words about Letter-Writing", 1], ["Ephemera Critica; Or, Plain Truths About Current Literature", 1], ["Facts About Champagne and Other Sparkling Wines", 1], ["Five Acres Too Much: A truthful elucidation of the attractions of the country, and a careful consideration of the question of profit and loss as involved in amateur farming, with much valuable advice and instruction to those about purchasing large or small places in the rural districts", 1], ["Fowler's Household Helps: Over 300 Useful and Valuable Helps About the Home, Carefully Compiled and Arranged in Convenient Form for Frequent Use", 1], ["Fur Farming: A book of Information about Fur Bearing Animals, Enclosures, Habits, Care, etc.", 1], ["Hand-book of Sanitary Information for Householders: Containing facts and suggestions about ventilation, drainage, care of contageous diseases, disinfection, food, and water. With appendices on disinfectants and plumbers' materials.", 1], ["Her Christmas at the Hermitage: A Tale About Rachel and Andrew Jackson", 1], ["Host and Guest : $b a book about dinners, dinner-giving, wines, and desserts", 1], ["In and About Drury Lane, and Other Papers Vol. 1 (of 2): Reprinted from the pages of the 'Temple Bar' Magazine", 1], ["In and About Drury Lane, and Other Papers, Vol. 2 (of 2): Reprinted from the pages of the 'Temple Bar' Magazine", 1], ["Jack Miner and the Birds, and Some Things I Know about Nature", 1], ["Joseph Pennell's Pictures of the Wonder of Work: Reproductions of a Series of Drawings, Etchings, and Lithographs, Made by Him about the World, 1881-1915, with Impressions and Notes by the Artist", 1], ["Little Books About Old Furniture. Volume II. The Period of Queen Anne", 1], ["Little Folks of North America: Stories about children living in the different parts of North America", 1], ["Mamma's Stories about Birds", 1], ["Man on the Ocean: A Book about Boats and Ships", 1], ["Marooned on Australia : $b being the narration by Diedrich Buys of his discoveries and exploits in Terra Australis Incognita about the year 1630 / by Ernest Favenc", 1], ["Mildred at Home: With Something About Her Relatives and Friends.: A sequel to Mildred's married life.", 1], ["More About Peggy", 1], ["More About Teddy B. and Teddy G., the Roosevelt Bears: Being Volume Two Depicting Their Further Travels and Adventures", 1], ["More about Pixie", 1], ["Motherly talks with young housekeepers: embracing eighty-seven brief articles on topics of home interest, and about five hundred choice receipts for cooking, etc.", 1], ["Moths of the Limberlost: A Book About Limberlost Cabin", 1], ["Mrs. Beeton's Dictionary of Every-Day Cookery: The \"All About It\" Books", 1], ["Much Ado About Peter", 1], ["Much Ado About Something", 1], ["Natural History: Or, Uncle Philip's Conversations with the Children about Tools and Trades among Inferior Animals", 1], ["Neighbourhood: A year's life in and about an English village", 1], ["On a Dynamical Top, for exhibiting the phenomena of the motion of a system of invariable form about a fixed point, with some suggestions as to the Earth's motion", 1], ["Our Cats and All About Them: Their Varieties, Habits, and Management; and for Show, the Standard of Excellence and Beauty; Described and Pictured", 1], ["Our Master: Thoughts for Salvationists about Their Lord", 1], ["Out and About London", 1], ["Outdoor Life and Indian Stories: Making open air life attractive to young Americans by telling them all about woodcraft, signs and signaling, the stars, fishing, camping, camp cooking, how to tie knots and how to make fire without matches, and many other fascinating open air pursuits. Also, stories of noted hunters and scouts, great indians and warriors, including Daniel Boone, Kit Carson, General Custer, Pontiac, Tecumseh, King Philip, Black Hawk, Brandt, Sitting Bull, and a host of others whose names are famous; all of them true and interesting", 1], ["Peter Parley's Tales About America and Australia", 1], ["Pleasant Talk About Fruits, Flowers and Farming", 1], ["Powder-Post Beetles in Buildings: What to Do About Them", 1], ["Prowling about Panama", 1], ["Punctuation: A Primer of Information about the Marks of Punctuation and their Use Both Grammatically and Typographically", 1], ["Quiet Talks about Jesus", 1], ["Ready About; or, Sailing the Boat", 1], ["Round About a Great Estate", 1], ["Round about Bar-le-Duc", 1], ["Round about a Pound a Week", 1], ["Round-about Rambles in Lands of Fact and Fancy", 1], ["Royal Winchester: Wanderings in and about the Ancient Capital of England", 1], ["Sane Sex Life and Sane Sex Living: Some Things That All Sane People Ought to Know About Sex Nature and Sex Functioning; Its Place in the Economy of Life, Its Proper Training and Righteous Exercise", 1], ["Saunterings in and about London", 1], ["Something about Eve: A comedy of fig-leaves", 1], ["Something about sugar : $b Its history, growth, manufacture and distribution", 1], ["Stage Confidences: Talks About Players and Play Acting", 1], ["Star-land: Being Talks With Young People About the Wonders of the Heavens", 1], ["Stories About Famous Precious Stones", 1], ["Stories About Indians", 1], ["Stories about Animals: with Pictures to Match", 1], ["Symmes's Theory of Concentric Spheres: Demonstrating that the Earth is hollow, habitable within, and widely open about the poles", 1], ["The Arrival of Jimpson, and Other Stories for Boys about Boys", 1], ["The City of Domes : a walk with an architect about the courts and palaces of the Panama-Pacific International Exposition, with a discussion of its architecture, its sculpture, its mural decorations, its coloring and its lighting, preceded by a history of its growth", 1], ["The Facts About Shakespeare", 1], ["The Fall of the Grand Sarrasin: Being a Chronicle of Sir Nigel de Bessin, Knight, of Things that Happed in Guernsey Island, in the Norman Seas, in and about the Year One Thousand and Fifty-Seven", 1], ["The Geography of the Region about Devil's Lake and the Dalles of the Wisconsin: With Some Notes on Its Surface Geology", 1], ["The Hawthorns: A Story about Children", 1], ["The Hollow Tree Snowed-In Book: Being a continuation of stories about the Hollow Tree and Deep Woods people", 1], ["The Hollow Tree Snowed-in Book: being a continuation of the stories about the Hollow Tree and Deep Woods people", 1], ["The Invention of Typography: A Brief Sketch of the Invention of Printing and How it Came About", 1], ["The Life of Nephi, the Son of Lehi: Who Emigrated from Jerusalem, in Judea, to the Land Which Is Now Known as South America, about Six Centuries Before the Coming of Our Savior", 1], ["The Little Child's Book of Divinity: or Grandmamma's Stories about Bible Doctrines", 1], ["The Mountain that was 'God': Being a Little Book About the Great Peak Which the Indians Named 'Tacoma' but Which is Officially Called 'Rainier'", 1], ["The Practical Garden-Book: Containing the Simplest Directions for the Growing of the Commonest Things about the House and Garden", 1], ["The Private Library: What We Do Know, What We Don't Know, What We Ought to Know About Our Books", 1], ["The Story of the Hills: A Book About Mountains for General Readers.", 1], ["The Strangest Things in the World: A Book About Extraordinary Manifestations of Nature", 1], ["The Truth About Jesus : Is He a Myth?: Illustrated", 1], ["The Truth About Lynching and the Negro in the South: In Which the Author Pleads That the South Be Made Safe for the White Race", 1], ["The Truth About Tristrem Varick: A Novel", 1], ["The Truth About Woman", 1], ["The Truth About an Author", 1], ["The Truth About the Congo: The Chicago Tribune Articles", 1], ["The Truth about Jesus : Is He a Myth?", 1], ["The Truth about the Titanic", 1], ["The Turned-About Girls", 1], ["The Works of Honoré de Balzac: About Catherine de' Medici, Seraphita, and Other Stories", 1], ["The clock that had no hands, and nineteen other essays about advertising", 1], ["The growth of medicine from the earliest times to about 1800", 1], ["The myth of the Jewish menace in world affairs: or, The truth about the forged protocols of the elders of Zion", 1], ["The spell of the heart of France: the towns, villages and châteaux about Paris", 1], ["The true history of the ghost : $b and all about metempsychosis", 1], ["The truth about Ireland : $b or, Through the Emerald Isle with an aeroplane", 1], ["The truth about socialism", 1], ["Things a Boy Should Know About Electricity: Second Edition", 1], ["Through the first Antarctic night, 1898-1899 : $b a narrative of the voyage of the \"Belgica\" among newly discovered lands and over an unknown sea about the south pole", 1], ["True Stories about Dogs and Cats", 1], ["Turn About Eleanor", 1], ["Turns about Town", 1], ["Walks about Washington", 1], ["Where No Fear Was: A Book About Fear", 1], ["Windows: A Book About Stained & Painted Glass", 1], ["Word Study and English Grammar: A Primer of Information about Words, Their Relations and Their Uses", 1]]
above	[["A Narrative of the Life and Adventures of Venture, a Native of Africa, but Resident above Sixty Years in the United States of America, Related by Himself", 1], ["Above the Battle", 1], ["Above the French Lines: Letters of Stuart Walcott, American Aviator: July 4, 1917, to December 8, 1917", 1], ["Above the Snow Line: Mountaineering Sketches Between 1870 and 1880", 1], ["Children Above 180 IQ Stanford-Binet: Origin and Development", 1], ["Dick Merriwell's Aëro Dash; Or, Winning Above the Clouds", 1], ["Far Above Rubies", 1], ["Far above rubies (Vol. 1 of 3) : $b A novel", 1], ["Far above rubies (Vol. 2 of 3) : $b A novel", 1], ["Far above rubies (Vol. 3 of 3) : $b A novel", 1], ["Right Above Race", 1], ["St. George's Cross; Or, England Above All", 1], ["The Heavens Above: A Popular Handbook of Astronomy", 1], ["The World Above: A Duologue", 1], ["Travels in Ethiopia, above the second cataract of the Nile : $b exhibiting the state of that country, and its various inhabitants, under the dominion of Mohammed Ali; and illustrating the antiquities, arts, and history of the ancient kingdom of Meroe", 1]]
abraham	[["Abraham Lincoln", 4], ["A Short Life of Abraham Lincoln: Condensed from Nicolay & Hay's Abraham Lincoln: A History", 2], ["\"Honest Abe\": A Study in Integrity Based on the Early Life of Abraham Lincoln", 1], ["A Man of the People: A Drama of Abraham Lincoln", 1], ["Abraham Lincoln : $b A memorial discourse", 1], ["Abraham Lincoln and the Abolition of Slavery in the United States", 1], ["Abraham Lincoln and the Union: A Chronicle of the Embattled North", 1], ["Abraham Lincoln in Our Own County", 1], ["Abraham Lincoln's Cardinal Traits;: A Study in Ethics, with an Epilogue Addressed to Theologians", 1], ["Abraham Lincoln's First Inaugural Address", 1], ["Abraham Lincoln's Lost Speech, May 29, 1856: A Souvenir of the Eleventh Annual Lincoln Dinner of the Republican Club of the City of New York, at the Waldorf, February 12, 1897", 1], ["Abraham Lincoln's Religion", 1], ["Abraham Lincoln's Second Inaugural Address", 1], ["Abraham Lincoln, Volume I", 1], ["Abraham Lincoln, Volume II", 1], ["Abraham Lincoln, a History — Volume 02", 1], ["Abraham Lincoln: A Play", 1], ["Abraham Lincoln: An Horatian Ode", 1], ["Abraham Lincoln: The People's Leader in the Struggle for National Existence", 1], ["Abraham Lincoln: The Practical Mystic", 1], ["Abraham Lincoln: The True Story of a Great Life, Volume 1 (of 2)", 1], ["Abraham Lincoln: The True Story of a Great Life, Volume 2 (of 2)", 1], ["Abraham Lincoln: Was He a Christian?", 1], ["Abraham Lincoln: a History — Volume 01", 1], ["Address of President Roosevelt on the occasion of the celebration of the hundredth anniversary of the birth of Abraham Lincoln, Hodgenville, Ky., February 12, 1909", 1], ["Christmas for Tad: A Story of Mary and Abraham Lincoln", 1], ["Discoveries and Inventions: A lecture by Abraham Lincoln delivered in 1860", 1], ["Footprints of Abraham Lincoln: Presenting many interesting facts, reminiscences and illustrations never before published", 1], ["Life of Abraham Lincoln: Little Blue Book Ten Cent Pocket Series No. 324", 1], ["Mary Schweidler, the amber witch: The most interesting trial for witchcraft ever known, printed from an imperfect manuscript by her father, Abraham Schweidler, the pastor of Coserow in the island of Usedom / edited by W. Meinhold ; translated from the German by Lady Duff Gordon.", 1], ["Memorial Address on the Life and Character of Abraham Lincoln: Delivered at the request of both Houses of Congress of America", 1], ["Noted Speeches of Abraham Lincoln, Including the Lincoln-Douglas Debate", 1], ["Quotes and Images from the Writings of Abraham Lincoln", 1], ["Recollections of Abraham Lincoln, 1847-1865", 1], ["Sketch of the life of Abraham Lincoln", 1], ["Speeches & Letters of Abraham Lincoln, 1832-1865", 1], ["The Backwoods Boy; or, The Boyhood and Manhood of Abraham Lincoln", 1], ["The Boys' Life of Abraham Lincoln", 1], ["The Every-day Life of Abraham Lincoln: A Narrative And Descriptive Biography With Pen-Pictures And Personal; Recollections By Those Who Knew Him", 1], ["The Life of Abraham Lincoln for Young People, Told in Words of One Syllable", 1], ["The Life of Abraham Lincoln, from His Birth to His Inauguration as President", 1], ["The Papers and Writings of Abraham Lincoln — Volume 1: 1832-1843", 1], ["The Papers and Writings of Abraham Lincoln — Volume 2: 1843-1858", 1], ["The Papers and Writings of Abraham Lincoln — Volume 3: The Lincoln-Douglas Debates", 1], ["The Papers and Writings of Abraham Lincoln — Volume 4: The Lincoln-Douglas Debates", 1], ["The Papers and Writings of Abraham Lincoln — Volume 5: 1858-1862", 1], ["The Papers and Writings of Abraham Lincoln — Volume 6: 1862-1863", 1], ["The Papers and Writings of Abraham Lincoln — Volume 7: 1863-1865", 1], ["The Papers and Writings of Abraham Lincoln, Complete", 1], ["The Patriarchs: Being Meditations upon Enoch, Noah, Abraham, Isaac, Jacob, Joseph, Job; The Canticles, Heaven and Earth.", 1], ["The Soul of Abraham Lincoln", 1], ["The Soul of Ann Rutledge: Abraham Lincoln's Romance", 1], ["The Story of Young Abraham Lincoln", 1], ["The early life of Abraham Lincoln:: containing many unpublished documents and unpublished reminiscences of Lincoln's early friends", 1], ["The inner life of Abraham Lincoln : $b Six months at the White House", 1], ["The story of Abraham Lincoln", 1], ["Widger's Quotations from the Project Gutenberg Editions of the Works of Abraham Lincoln", 1]]
abridged	[["Agnes Strickland's Queens of England, Vol. 1. (of 3): Abridged and Fully Illustrated", 1], ["Agnes Strickland's Queens of England, Vol. 2. (of 3): Abridged and Fully Illustrated", 1], ["Agnes Strickland's Queens of England, Vol. 3. (of 3): Abridged and Fully Illustrated", 1], ["Friars and Filipinos: An Abridged Translation of Dr. Jose Rizal's Tagalog Novel,; 'Noli Me Tangere.'", 1], ["Little Lord Fauntleroy [abridged]: Für den Schulgebrauch bearbeitet", 1], ["Personal Recollections: Abridged, Chiefly in Parts Pertaining to Political and Other Controversies Prevalent at the Time in Great Britain", 1], ["Principles of Political Economy: Abridged with Critical, Bibliographical, and Explanatory Notes, and a Sketch of the History of Political Economy", 1], ["The Story of a Donkey: abridged from the French of Madame la comtesse de Ségur", 1]]
abroad	[["A Gloucestershire Lad at Home and Abroad", 1], ["A Journey to Crete, Costantinople, Naples and Florence: Three Months Abroad", 1], ["A Tramp Abroad", 1], ["A Tramp Abroad — Volume 01", 1], ["A Tramp Abroad — Volume 02", 1], ["A Tramp Abroad — Volume 03", 1], ["A Tramp Abroad — Volume 04", 1], ["A Tramp Abroad — Volume 05", 1], ["A Tramp Abroad — Volume 06", 1], ["A Tramp Abroad — Volume 07", 1], ["A Trip Abroad: An Account of a Journey to the Earthly Canaan and the Land of the Ancient Pharaohs; To Which Are Appended a Brief Consideration of the Geography and History of Palestine, and a Chapter on Churches of Christ in Great Britain", 1], ["Abroad and at Home; Practical Hints for Tourists", 1], ["Abroad at Home: American Ramblings, Observations, and Adventures of Julian Street", 1], ["Abroad with the Jimmies", 1], ["American Adventures: A Second Trip 'Abroad at home'", 1], ["An American Girl Abroad", 1], ["At Home and Abroad; Or, Things and Thoughts in America and Europe", 1], ["Aunt Jane's Nieces Abroad", 1], ["By the Way: Travel Letters Written During Several Journeys Abroad", 1], ["Campaigns of a Non-Combatant, and His Romaunt Abroad During the War", 1], ["Dagonet Abroad", 1], ["David Balfour: Being Memoirs Of His Adventures At Home And Abroad, The Second Part: In Which Are Set Forth His Misfortunes Anent The Appin Murder; His Troubles With Lord Advocate Grant; Captivity On The Bass Rock; Journey Into Holland And France; And Singular Relations With James More Drummond Or Macgregor, A Son Of The Notorious Rob Roy, And His Daughter Catriona", 1], ["Dick Merriwell Abroad; Or, The Ban of the Terrible Ten", 1], ["Five Little Peppers Abroad", 1], ["Goldsmith's Friend Abroad Again", 1], ["Lord Stranleigh Abroad", 1], ["Mollie and the Unwiseman Abroad", 1], ["One Year Abroad", 1], ["Peck's bad boy abroad : $b Being a humorous description of the bad boy and his dad in their journeys through foreign lands: 1904", 1], ["People of Destiny: Americans as I saw them at Home and Abroad", 1], ["Polly and Her Friends Abroad", 1], ["Prisoners of Poverty Abroad", 1], ["Sea Scouts Abroad: Further Adventures of the \"Olivette\"", 1], ["Sir John Constantine: Memoirs of His Adventures At Home and Abroad and Particularly in the Island of Corsica: Beginning with the Year 1756", 1], ["Spanish Prisons: The Inquisition at Home and Abroad, Prisons Past and Present", 1], ["The Automobilist Abroad", 1], ["The Book-Collector: A General Survey of the Pursuit and of those who have engaged in it at Home and Abroad from the Earliest Period to the Present Time", 1], ["The Car That Went Abroad: Motoring Through the Golden Age", 1], ["The Cockaynes in Paris; Or, 'Gone abroad'", 1], ["The Dodd Family Abroad, Vol. I", 1], ["The Dodd Family Abroad, Vol. II", 1], ["The Innocents Abroad", 1], ["The Innocents Abroad — Volume 01", 1], ["The Innocents Abroad — Volume 02", 1], ["The Innocents Abroad — Volume 03", 1], ["The Innocents Abroad — Volume 04", 1], ["The Innocents Abroad — Volume 05", 1], ["The Innocents Abroad — Volume 06", 1], ["The Military Sketch-Book, Vol. 2 (of 2): Reminiscences of seventeen years in the service abroad and at home", 1], ["The Military Sketch-Book. Vol. 1 (of 2): Reminiscences of seventeen years in the service abroad and at home", 1], ["The Rudder Grangers Abroad and Other Stories", 1], ["The four Corners abroad", 1], ["Tom Sawyer Abroad", 1], ["Town and Country; Or, Life at Home and Abroad, Without and Within Us", 1], ["Uncle Sam Abroad", 1], ["Visits and Sketches at Home and Abroad, Vol. 1 (of 3): With Tales and Miscellanies Now First Collected", 1], ["Visits and Sketches at Home and Abroad, Vol. 2 (of 3): With Tales and Miscellanies Now First Collected", 1], ["Visits and Sketches at Home and Abroad, Vol. 3 (of 3): With Tales and Miscellanies Now First Collected", 1]]
absalom	[["Absalom's Hair", 1]]
absentee	[["The Absentee", 1]]
absolute	[["Absolute Surrender and Other Addresses", 1], ["Anthony the Absolute", 1], ["The Story of the Soil; from the Basis of Absolute Science and Real Life", 1]]
absolution	[["Absolution", 1], ["Confession and Absolution", 1]]
absolved	[["Satan Absolved: A Victorian Mystery", 1]]
absorbents	[["Experiments and Observations on the Following Subjects: 1. On the preparation, calcination, and medicinal uses of Magnesia Alba. 2. On the solvent qualities of calcined Magnesia. 3. On the variety in the solvent powers of quick-lime, when used in different quantities. 4. On various absorbents, as promoting or retarding putrefaction. 5. On the comparative antiseptic powers of vegetable infusions prepared with lime, &c. 6. On the sweetening properties of fixed air.", 1]]
absorption	[["Lead poisoning and lead absorption : $b The symptoms, pathology and prevention, with special reference to their industrial origin, and an account of the principal processes involving risk", 1]]
abstract	[["How Justice Grew: Virginia Counties, An Abstract of Their Formation", 1]]
absurd	[["Absurd Ditties", 1], ["Mother Hubbard, Her Picture Book,: Containing Mother Hubbard, The Three Bears, & The Absurd A, B, C.", 1], ["The Absurd ABC", 1]]
absurdities	[["Absurdities of immaterialism : $b or, a reply to T. W. P. Taylder's pamphlet, entitled, \"The materialism of the Mormons or Latter-Day Saints, examined and exposed.\"", 1]]
absurdity	[["The Londoners : $b an absurdity", 1]]
abundance	[["Contemporary American Composers: Being a Study of the Music of This Country, Its Present; Conditions and Its Future, with Critical Estimates and; Biographies of the Principal Living Composers; and an; Abundance of Portraits, Fac-simile Musical Autographs, and; Compositions", 1]]
abuse	[["Observation on the Use and Abuse of Mercury, and on the Precautions Necessary in Its Employment", 1], ["The Power of the Popes: An Historical Essay on Their Temporal Dominion, and the Abuse of Their Spiritual Authority", 1], ["The Use and Abuse of Church Bells; With Practical Suggestions Concerning Them", 1], ["Words; Their Use and Abuse", 1]]
abuses	[["The Railroad Question: A historical and practical treatise on railroads, and remedies for their abuses", 1]]
abysmal	[["The Abysmal Brute", 1]]
abyss	[["Creatures of the Abyss", 1], ["Glimpses into the Abyss", 1], ["Out of Time's Abyss", 1], ["The People of the Abyss", 1], ["The Vast Abyss: The Story of Tom Blount, his Uncles and his Cousin Sam", 1]]
